😸~smile_cat.png|255,205,76|217,176,80|0.43|0.77
🙇~bow.png|255,220,93|181,177,124|0.19|0.57
🌴~palm_tree.png|92,146,56|117,135,62|0.14|0.3
📠~fax.png|102,117,127|129,143,149|0.32|0.83
📞~telephone_receiver.png|45,52,58|45,52,58|0.31|0.31
🍼~baby_bottle.png|204,214,221|185,198,202|0.28|0.49
🚟~suspension_railway.png|244,144,12|143,130,102|0.17|0.79
💉~syringe.png|221,46,68|201,114,130|0.13|0.26
💻~computer.png|93,173,236|140,186,222|0.31|0.68
🍑~peach.png|255,136,108|233,136,102|0.56|0.72
💕~two_hearts.png|222,42,66|222,42,66|0.41|0.41
👅~tongue.png|234,89,110|208,75,90|0.28|0.41
🏥~hospital.png|85,172,238|160,194,223|0.17|0.76
⏰~alarm_clock.png|230,231,232|224,154,145|0.29|0.7
🌸~cherry_blossom.png|244,171,186|244,167,172|0.36|0.55
🌼~blossom.png|204,214,221|203,205,176|0.14|0.44
♌~leo.png|146,102,204|167,131,214|0.74|0.98
🚆~train2.png|167,169,172|174,180,184|0.18|0.61
🈵~u6e80.png|221,46,68|227,85,103|0.7|0.98
🔬~microscope.png|137,154,167|146,161,172|0.15|0.39
😋~yum.png|255,205,76|237,182,71|0.58|0.76
🌠~stars.png|34,102,153|117,137,129|0.57|0.98
🇯🇵~jp.png|238,238,238|238,202,205|0.55|0.69
😣~persevere.png|255,204,77|229,181,64|0.57|0.76
📹~video_camera.png|45,52,58|67,77,85|0.31|0.53
✊~fist.png|255,221,93|254,215,91|0.56|0.67
💺~seat.png|66,137,193|95,148,190|0.22|0.52
💯~100.png|187,26,52|187,26,52|0.34|0.34
♍~virgo.png|146,102,204|170,136,215|0.7|0.98
🐝~bee.png|45,52,58|146,145,129|0.13|0.42
🌲~evergreen_tree.png|92,145,59|82,126,45|0.2|0.41
🌃~night_with_stars.png|41,47,51|56,81,96|0.29|0.98
🎯~dart.png|204,214,221|155,134,143|0.22|0.78
🚂~steam_locomotive.png|65,64,66|128,83,86|0.12|0.66
🌺~hibiscus.png|244,171,186|224,155,151|0.37|0.66
🐦~bird.png|221,46,68|216,54,64|0.32|0.41
📷~camera.png|45,52,58|73,87,98|0.44|0.68
🌇~city_sunrise.png|255,204,77|171,143,80|0.27|0.98
❗~exclamation.png|190,25,49|190,25,49|0.12|0.12
💐~bouquet.png|62,114,29|164,141,69|0.1|0.47
👗~dress.png|85,172,238|87,171,236|0.42|0.49
🚠~mountain_cableway.png|34,102,153|115,155,175|0.2|0.59
🛂~passport_control.png|34,102,153|98,147,183|0.59|0.98
⏳~hourglass_flowing_sand.png|255,232,182|195,186,149|0.16|0.45
📁~file_folder.png|85,172,238|71,152,214|0.47|0.68
🐓~rooster.png|225,232,237|225,211,211|0.39|0.47
🍷~wine_glass.png|136,153,166|177,136,150|0.1|0.33
⏩~fast_forward.png|59,136,195|99,160,207|0.75|0.98
😧~anguished.png|255,204,77|235,186,67|0.62|0.76
